 Acidobacteria,1,1,1,0,1,0
Actinobacteria,1,1,1,1,1,0
All,0,0,0,0,1,0
Aminicenantes,1,1,1,1,1,1
Aquificae,1,1,1,1,1,0
Armatimonadetes,1,1,1,1,1,0
Atribacteria,1,1,1,1,1,1
Bacteroidetes,1,1,1,1,1,0
BRC1,1,1,1,1,1,0
Candidatus-Saccharibacteria,1,1,1,1,1,0
Chlamydiae,1,1,1,1,1,0
Chlorobi,1,1,1,1,1,0
Chloroflexi,1,1,1,1,1,0
Chrysiogenetes,1,1,1,1,1,0
Cyano Chloroplast,1,1,1,1,1,0
Deferribacteres,1,1,1,1,1,0
Deinococcus-Thermus,1,1,1,1,1,0
Dictyoglomi,1,1,1,1,1,0
Elusimicrobia,1,1,1,1,1,0
Fibrobacteres,1,1,1,1,1,0
Firmicutes,0,0,1,0,1,0
Fusobacteria,1,1,0,1,1,0
Ignavibacteriae,1,1,1,1,1,1
Latescibacteria,1,1,1,1,1,0
Lentisphaerae,1,1,1,1,1,0
Microgenomates,1,1,1,1,1,0
Nitrospinae,1,1,1,1,1,0
Nitrospirae,1,1,1,1,1,0
Parcubacteria,1,1,1,1,1,0
Planctomycetes,1,1,1,1,1,0
Poribacteria,1,1,1,1,1,0
Proteobacteria,1,0,1,0,1,0
Spirochaetes,1,1,1,1,1,0
SR1,1,1,1,1,1,0
Synergistetes,1,1,1,1,1,0
Tenericutes,1,1,1,1,1,0
Thermodesulfobacteria,1,1,1,1,1,0
Thermotogae,1,1,1,1,1,0
Verrucomicrobia,1,1,1,0,1,0
WPS-1,1,1,1,1,1,1
